main_port,link_text,link_href,region,code,country,port_type,chinese_name,english_name,port_code,country_english,latitude,longitude
False,wenzhou,https://port.yunfei89.com/country45/cnwnz.html,温州,CNWNZ,中国,东南亚线,,,,,,
False,wuhan,https://port.yunfei89.com/country45/cnwuh.html,"阳逻,武汉",CNWUH,中国,东南亚线,,,,,,
False,wuzhou,https://port.yunfei89.com/country45/cnwzg.html,梧州,CNWZG,中国,东南亚线,,,,,,
False,"xiaolan,zhongshan",https://port.yunfei89.com/country45/cnxlg.html,"小榄,中山",CNXLG,中国,东南亚线,,,,,,
False,"xinhui,jiangmen",https://port.yunfei89.com/country45/cnxhg.html,"新会,江门",CNXHG,中国,东南亚线,,,,,,
False,xiuying,https://port.yunfei89.com/country45/cnhak.html,"秀英港,海口",CNHAK,中国,中国港口,,,,,,
False,"xiyu,zhuhai",https://port.yunfei89.com/country45/cnxyw.html,"西域,珠海",CNXYW,中国,东南亚线,,,,,,
False,yangjiang,https://port.yunfei89.com/country45/cnyjg.html,阳江,CNYJG,中国,东南亚线,,,,,21.717534,111.825966
False,yangpu,https://port.yunfei89.com/country45/cnypg.html,洋浦港,CNYPG,中国,中国港口,,,,,,
False,yiwu,https://port.yunfei89.com/country45/cnyiw.html,义乌,CNYIW,中国,中国港口,,,,,,
False,yunfu,https://port.yunfei89.com/country45/cnyfg.html,云浮,CNYFG,中国,东南亚线,,,,,,
False,zhangjiagang,https://port.yunfei89.com/country45/cnzjp.html,张家港,CNZJP,中国,中国港口,,,,,,
False,zhanjiang,https://port.yunfei89.com/country45/cnzjg.html,湛江,CNZJG,中国,东南亚线,,,,,,
False,zhaoqing,https://port.yunfei89.com/country45/cnzqg.html,肇庆,CNZQG,中国,东南亚线,,,,,,
False,zhuhai,https://port.yunfei89.com/country45/cnzhh.html,珠海,CNZHH,中国,中国港口,,,,,,
False,zhusanjiao,https://port.yunfei89.com/country45/cnzsj.html,珠三角,CNZSJ,中国,中国港口,,,,,,
