"cityabbr","province","distance_to_harbor","nearest_port","lndis_to_harbor","distance_to_bharbor","nearest_bport","lndis_to_bharbor"
"定西","甘肃省","1230.69251397295","天津市",14.023088400953114,1230692.513972949,"天津市",14.023088400953114
"平凉","甘肃省","1043.14477934739","天津市",13.85775149348493,1043144.779347395,"天津市",13.85775149348493
"庆阳","甘肃省","924.279356970349","天津市",13.73677072123688,924279.3569703486,"天津市",13.73677072123688
"张掖","甘肃省","1501.68428611296","天津市",14.222098559466916,1501684.2861129595,"天津市",14.222098559466916
"武威","甘肃省","1243.76275400778","天津市",14.033652625892513,1243762.7540077807,"天津市",14.033652625892513
"甘南","甘肃省","1409.25060699788","天津市",14.158569346264537,1409250.6069978846,"天津市",14.158569346264537
"白银","甘肃省","1152.52541910042","天津市",13.957466976887751,1152525.41910042,"天津市",13.957466976887751
"酒泉","甘肃省","1800.09283421024","天津市",14.403349351624465,1800092.8342102377,"天津市",14.403349351624465
"金昌","甘肃省","1325.09603456497","天津市",14.096996248354946,1325096.0345649675,"天津市",14.096996248354946
"陇南","甘肃省","1255.11464085296","天津市",14.042738270408961,1255114.6408529636,"天津市",14.042738270408961
"三明","福建省","148.526729848267","泉州市",11.908526952777422,508948.56620169774,"广州市",13.1401042065404
"南平","福建省","176.383119245435","福州市",12.080419391548844,418842.20430591167,"宁波市",12.945251914801682
"厦门","福建省","0","厦门市",0,463418.09374888905,"深圳市",13.04638709373297
"宁德","福建省","106.910252580051","福州市",11.579754354149287,361743.42355506914,"宁波市",12.798693229185059
"泉州","福建省","0","泉州市",0,506065.3549911704,"深圳市",13.13442307601817
"漳州","福建省","76.0663709045875","厦门市",11.239374685866379,387383.6849343284,"深圳市",12.867173496221412
"福州","福建省","0","福州市",0,465427.2042020686,"宁波市",13.050713130081284
"莆田","福建省","69.154563181565","泉州市",11.144113784783366,537571.8980723821,"宁波市",13.19481965410852
"龙岩","福建省","152.857721990702","泉州市",11.937269388109707,389530.8138683847,"广州市",12.872700819695243
"山南","西藏自治区","2043.24997014734","湛江市",14.530052710184256,2258315.652432786,"广州市",14.630130249658023
"拉萨","西藏自治区","2150.35970088741","湛江市",14.581146153887,2343882.286463682,"广州市",14.667319635975055
"日喀则","西藏自治区","2555.21336684067","湛江市",14.75364667901657,2775565.577778476,"广州市",14.836365456494795
